imdb_id,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
tt0325980,8.1,1323403,63.0,79.0,PG-13,305413918.0,Nominated for 5 Oscars. 38 wins & 104 nominations total
tt4123430,6.5,329657,52.0,36.0,PG-13,159555901.0,Nominated for 2 BAFTA 3 wins & 22 nominations total
tt1409024,6.8,409954,58.0,67.0,PG-13,179020854.0,2 wins & 13 nominations total
tt1951266,6.6,410756,65.0,70.0,PG-13,281723902.0,15 wins & 34 nominations total
tt0121765,6.6,815170,54.0,62.0,PG,310676740.0,Nominated for 1 Oscar. 21 wins & 71 nominations total
tt1981115,6.7,776160,54.0,67.0,PG-13,206362140.0,4 wins & 21 nominations total
tt26743210,7.7,131570,61.0,78.0,PG,262958100.0,Nominated for 1 BAFTA Award. 4 wins & 20 nominations total
tt6166392,6.9,188015,66.0,82.0,PG,218402312.0,Nominated for 1 BAFTA Award6 wins & 45 nominations total
tt3470600,7.1,210521,59.0,71.0,PG,270578425.0,3 wins & 25 nominations total
tt16311594,7.6,353753,68.0,82.0,PG-13,189642436.0,Won 1 Oscar. 31 wins & 129 nominations total
tt0441773,7.6,574537,74.0,87.0,PG,216064546.0,Nominated for 1 Oscar. 15 wins & 39 nominations total
tt0317705,8.0,891503,90.0,,PG,261441092.0,Won 2 Oscars. 70 wins & 56 nominations total
tt3659388,8.0,999128,80.0,91.0,PG-13,228433663.0,Nominated for 7 Oscars. 40 wins & 199 nominations total
tt0448157,6.4,534419,49.0,42.0,R,227946274.0,4 wins & 14 nominations total
tt16194408,5.6,1718,,,N/A,117294.0,14 wins & 17 nominations total
tt1596343,7.3,430221,66.0,77.0,PG-13,209837675.0,9 wins & 21 nominations total
tt1228705,6.9,936571,57.0,72.0,PG-13,312433331.0,Nominated for 1 Oscar. 7 wins & 45 nominations total
tt0382932,8.1,940588,96.0,96.0,G,206445654.0,Won 1 Oscar. 69 wins & 42 nominations total
tt5095030,7.0,493940,70.0,87.0,PG-13,216648740.0,2 wins & 21 nominations total
tt1646971,7.8,398152,77.0,92.0,PG,177002924.0,Nominated for 1 Oscar. 15 wins & 61 nominations total
tt3315342,8.1,917281,77.0,93.0,R,226277068.0,Nominated for 1 Oscar. 28 wins & 82 nominations total
